ID No.,Shelfmark/Title/Description,Manuscript Approx. Date of Copying,Language(s),Script Style,Prominent Layout Features,Additional notes/selection rationale,Repository link
0,CAJS Rar Ms 181/Kitāb al-salāmāt,18th century,Arabic,Coptic Naskh,Big calligraphic letterforms with lots of character overlap,,
1,Yale Persian MSS 26/Jāmiʻ al-ḥikāyāt-i Maḥmūdī,17th century,Persian,Nasta'liq,"Slanting poetry, marginal annotations",,
2,"Princeton, Islamic Manuscripts, Garrett no. 300Y/Lamʻ barq al-maqāmāt al-ʻawāl fī ziyārat sayyidī Ḥasan al-Rāʻī wa-waladihi ʻAbd al-ʻĀlī",18th century,Arabic,Naskh,"Poetry columns, prose, vertical marginal comment",Black and white low res scan,
3,BnF Supplément turc 323 ,17th century,"Ottoman Turkish, Persian",Nasta'liq,Text in diamond shapes up and down the page,,
4,Princeton Ymdi. 03. 31/Kitāb al-Taṣfiyah lil-qulūb min daran al-awzār wa-al-dhunūb,17th century,Arabic,Yemeni naskh,Complex ownership statements,"Private repository, might not be able to post public facing?",
5,BnF Supplément turc 1619/Cönk,17th century,Ottoman Turkish,Scrawly naskh,Safinat format book,,
6,Lewis O 89/Genealogical and dynastic tables,17th century,Ottoman Turkish,Minute naskh,Genealogical charts with dense and numerous multidirectional text blocks,,
7,"Khalidi Library, Jerusalem, MS 346/Majmū'ah",18th century,Arabic,"Naskh, unusual",Poetry columns with unusual jīms at ends,,https://www.vhmml.org/readingRoom/view/508697
8,BnF Supplément turc 1636/Mecmua,17th century,Ottoman Turkish,Nasta'liq,"Multiple columns, some slanting, some vertical",,
9,"Houghton Library, Harvard University, MS Arab 12/Majmū'ah",15th century,"Arabic, Persian, Ottoman Turkish",Naskh-ish,Widely spaced words in main text with extensive interlinear glosses,,https://curiosity.lib.harvard.edu/islamic-heritage-project/catalog/40-990118276210203941
10,"McGill University, Manuscript Ivanow 133/Risālah dar bayān-i da'vāt",18th/19th century,Persian,Nasta'liq,Marginal annotations,,https://archive.org/details/McGillLibrary-rbsc_ms-bw-ivanow-0133-18589/page/n5/mode/1up
11,"University of Michigan, Special Collections Research Center, Isl. Ms. 421/Majmū'ah",17th century,"Ottoman Turkish, Persian, Arabic",Nasta'liq,"Multiple column slanting marginalia, sides, top and bottom",,https://catalog.hathitrust.org/Record/006822781
12,Lewis O 100/Majmūʻah-ʼi Bhagat Māl,19th century,Urdu,Nasta'liq,Multiple columns with images on both sides,,https://openn.library.upenn.edu/Data/0023/html/lewis_o_100.html
13,Uppsala O Vet. 19 ,17th century,"Persian, Arabic",Naskh,"Dictionary format with glossed words, slanting terms, extensive rubrication",,
14,National Library of Israel Jerusalem Ms. Yah. Ar. 765,18th century,Arabic,Naskh,"Bounded main text block, slanting marginal comments",,
15,SBzB Ms. or. oct. 2860/Menaqib-i Emir Sultan,17th century,Ottoman Turkish,Naskh,"Neat main text block, slanting marginalia",,
16,"Princeton, Islamic Manuscripts, New Series no. 1010/Aʻjab al-ʻujāb",15th century,Ottoman Turkish,Fully vocalized Ottoman naskh,Minute marginal comments,,https://catalog.princeton.edu/catalog/9953310983506421
19,BnF Arabe 1616/Ǧawāhir al-sulūk fī l-ẖulafāʾ wa l-mulūk,16th century,Arabic,Naskh,"Vertical text, marginialia, poetry, book title",,
20,SBzB Ms Or fol 248/Safīnat baḥr,18th century,"Persian, Arabic","Nasta'liq, naskh","Word blocks shaped like flowers, multidirectionality, other complex layout features",,
21,Tubingen Ma Vii 132/İskendername,15th century,Ottoman Turkish,Ottoman naskh,,,
23,"Bibliothèque nationale de France, Département des Manuscrits, Arabe 5046/Journal et poésies de Nadjm al-Din al-Ghazzi, avec des notes et des extraits de tout genre",16th century,Arabic,Scrawly naskh,"Diverse main column styles, marginal annotations of various shapes, sizes",Black and white low res scan,https://gallica.bnf.fr/ark:/12148/btv1b100307615.r=Arabe%205046?rk=21459;2
23,"University of Michigan, Special Collections Research Center, Isl. Ms. 276/Kitāb ʻIṣām al-Dīn Sharḥ al-Risālah al-Samarqandīyah",17th/18th century,Arabic,Egyptian naskh,Extensive multidirectional marginalia,,
24,BnF Supplément turc 1629/Hikayetler,17th century,Ottoman Turkish,Ottoman naskh,Colophon with notes in margins,,
